date,impressions,spend,cpm
2025-06-01 00:00:00,22941,386.32644,16.84
2025-06-02 00:00:00,23542,396.44728,16.84
2025-06-03 00:00:00,21970,369.9748,16.84
2025-06-04 00:00:00,23432,394.59488,16.84
2025-06-05 00:00:00,29631,498.98604,16.84
2025-06-06 00:00:00,8156,137.34704,16.84
2025-06-07 00:00:00,8230,138.5932,16.84
2025-06-08 00:00:00,15207,256.08588,16.84
2025-06-09 00:00:00,35790,602.7036,16.84
2025-06-10 00:00:00,121108,2039.45872,16.84
2025-06-11 00:00:00,139750,2353.39,16.84
2025-06-12 00:00:00,140126,2359.72184,16.84
2025-06-13 00:00:00,140565,2367.1146,16.84
2025-06-14 00:00:00,93006,1566.22104,16.84
2025-06-15 00:00:00,80911,1362.54124,16.84
2025-06-16 00:00:00,72390,1219.0476,16.84
2025-06-17 00:00:00,23013,387.53892,16.84
2025-06-18 00:00:00,128,2.15552,16.84
2025-06-19 00:00:00,144,2.42496,16.84
2025-06-20 00:00:00,192,3.23,16.84
2025-06-21 00:00:00,0,0,16.84
2025-06-22 00:00:00,0,0,16.84
2025-06-23 00:00:00,0,0,16.84
2025-06-24 00:00:00,102,1.72,16.84
2025-06-25 00:00:00,0,0,16.84
2025-06-26 00:00:00,0,0,16.84
2025-06-27 00:00:00,13825,232.81,16.84
2025-06-28 00:00:00,11871,199.91,16.84
2025-06-29 00:00:00,0,0,16.84
2025-06-30 00:00:00,24625,414.685,16.84
